Cod Familia;Desc Familia;Pict Padrao;Procedencia;Marca;Descricao;Status Grupo;Grupo Relac;Tipo Grupo;Mark-Up;% Margem Pre;Codigo;Tipo Grupo;Exige Conc.
0001;SEM CLASSIFICACAO;;;;;;;;0,000000;0,00;;;
0002;EQUIPAMENTOS DE TI;;Nao Original;;;;;;0,000000;0,00;;;
0003;EQUIPAMENTOS DE TRANSMISSAO;;Nao Original;;;;;;0,000000;0,00;;;
0004;EQUIPAMENTOS DE PRODUCAO;;Nao Original;;;;;;0,000000;0,00;;;
0005;IFB;;Nao Original;;;;;;0,000000;0,00;;;
0006;IFB;;Nao Original;;;;;;0,000000;0,00;;;
0007;BOTONEIRA;;Nao Original;;;;;;0,000000;0,00;;;
0009;MICROFONE;;Nao Original;;;;;;0,000000;0,00;;;
0011;Conversor;;Nao Original;;;;;;0,000000;0,00;;;
0012;MINI CONVERSOR;;Nao Original;;;;;;0,000000;0,00;;;
0013;INTELBRAS KFSD 1120A;;Nao Original;;;;;;0,000000;0,00;;;
0015;ROSS PERSONAL MONITOR PM55P;;Nao Original;;;;;;0,000000;0,00;;;
0016;IP COMMENTARY UNIT;;Nao Original;;;;;;0,000000;0,00;;;
0017;FONTE CONVERSORES BLACK MAGIC;;Nao Original;;;;;;0,000000;0,00;;;
0018;BEHRINGER;;Nao Original;;;;;;0,000000;0,00;;;
0019;MONITOR BLACKMAGIC;;Nao Original;;;;;;0,000000;0,00;;;
0020;LECTROSONICS RECEPTOR;;Nao Original;;;;;;0,000000;0,00;;;
0021;ANTENA LETROSONICS;;Nao Original;;;;;;0,000000;0,00;;;
0022;LENTE CANON;;Nao Original;;;;;;0,000000;0,00;;;
0023;FONE AKG;;Nao Original;;;;;;0,000000;0,00;;;
0024;HEADSET SENNHEISER;;Nao Original;;;;;;0,000000;0,00;;;
0025;EVS XT2;;Nao Original;;;;;;0,000000;0,00;;;
0026;TECLADO CHERRY;;Nao Original;;;;;;0,000000;0,00;;;
0027;REMOTE;;Nao Original;;;;;;0,000000;0,00;;;
0028;FONTE OLIMPIA 3;;Nao Original;;;;;;0,000000;0,00;;;
0029;CASE LARANJA;;Nao Original;;;;;;0,000000;0,00;;;
0030;LCD MONITOR;;Nao Original;;;;;;0,000000;0,00;;;
0031;PATCH ADC;;Nao Original;;;;;;0,000000;0,00;;;
0032;MESA DE AUDIO;;Nao Original;;;;;;0,000000;0,00;;;
0033;PATCH DE VIDEO;;Nao Original;;;;;;0,000000;0,00;;;
0034;PATCH DE VIDEO;;Nao Original;;;;;;0,000000;0,00;;;
0035;BLACKMAGICDESING;;Nao Original;;;;;;0,000000;0,00;;;
0038;LENTEFUJINON GA;;Nao Original;;;;;;0,000000;0,00;;;
0039;VIEW FINDER;;Nao Original;;;;;;0,000000;0,00;;;
0040;LENTE CANON;;Nao Original;;;;;;0,000000;0,00;;;
0042;PAINEL DE CONTROLE FOR.A;;Nao Original;;;;;;0,000000;0,00;;;
0043;ULTRICORE ROSS VIDEO;;Nao Original;;;;;;0,000000;0,00;;;
0044;BLACKMAGICDESING;;Nao Original;;;;;;0,000000;0,00;;;
0045;PATCH ADC;;Nao Original;;;;;;0,000000;0,00;;;
0046;FRAME FOR.A;;Nao Original;;;;;;0,000000;0,00;;;
0047;OPENGEAR;;Nao Original;;;;;;0,000000;0,00;;;
0048;DELEC ORANTIS;;Nao Original;;;;;;0,000000;0,00;;;
0050;FONTE AJA;;Nao Original;;;;;;0,000000;0,00;;;
0051;FRAME DE SWICTHER;;Nao Original;;;;;;0,000000;0,00;;;
0052;MINI GBIC;;Nao Original;;;;;;0,000000;0,00;;;
0053;TP-LINK;;Nao Original;;;;;;0,000000;0,00;;;
0054;INTELBRAS;;Nao Original;;;;;;0,000000;0,00;;;
0055;MESA DE AUDIO ALLEN HEAT;;Nao Original;;;;;;0,000000;0,00;;;
0056;ALLEN HEAT DM64;;Nao Original;;;;;;0,000000;0,00;;;
0057;NOBREAK EATON;;Nao Original;;;;;;0,000000;0,00;;;
0058;MONITOR BLACKMAGIC;;Nao Original;;;;;;0,000000;0,00;;;
0059;MONITOR ACER;;Nao Original;;;;;;0,000000;0,00;;;
0060;MESA FOR.A;;Nao Original;;;;;;0,000000;0,00;;;
0061;COMINICACAO RIEDEL;;Nao Original;;;;;;0,000000;0,00;;;
0062;Bateria;;Nao Original;;;;;;0,000000;0,00;;;
0063;SWITCHER PANASONIC;;Nao Original;;;;;;0,000000;0,00;;;
0064;DISTRIBUIDOR OPEN GEAR;;Nao Original;;;;;;0,000000;0,00;;;
0066;Controle;;Nao Original;;;;;;0,000000;0,00;;;
0067;Tripe;;Nao Original;;;;;;0,000000;0,00;;;
0068;Video;;Nao Original;;;;;;0,000000;0,00;;;
0069;CAMERA;;Nao Original;;;;;;0,000000;0,00;;;
0070;Audio;;Nao Original;;;;;;0,000000;0,00;;;
0071;Placa;;Nao Original;;;;;;0,000000;0,00;;;
0072;Iluminacao;;Nao Original;;;;;;0,000000;0,00;;;
0073;Transmissao;;Nao Original;;;;;;0,000000;0,00;;;
0074;Monitor;;Nao Original;;;;;;0,000000;0,00;;;
0075;Telecomunicacao;;Nao Original;;;;;;0,000000;0,00;;;
0076;Informatica;;Nao Original;;;;;;0,000000;0,00;;;
0077;Comunicacao;;Nao Original;;;;;;0,000000;0,00;;;
0078;Receptor;;Nao Original;;;;;;0,000000;0,00;;;
0079;Carregador;;Nao Original;;;;;;0,000000;0,00;;;
;;;;;;;;;;;;;
Total Cod Familia;;;;;;;;;;;;;
;;;;;;;;;0,000000;0,00;;;
;;;;;;;;;;;;;
Total Geral;;;;;;;;;;;;;
;;;;;;;;;0,000000;0,00;;;
